Category,category_id,Subcategory,subcategory_id,amount,year
震災関連,1,健康・福祉・環境,101,952180000,2013
震災関連,1,まちづくり,102,2096771000,2013
震災関連,1,産業,103,2250654000,2013
震災関連,1,基金・諸経費,104,143035000,2013
震災関連,1,安全,105,11466840000,2013
子育て・教育,2,子供・青少年,201,664972000,2013
子育て・教育,2,社会教育（大人）,202,154308000,2013
公債,3,公債,301,557136000,2013
まちづくり,4,新設,401,7080708000,2013
まちづくり,4,維持・管理,402,870961000,2013
その他,5,選挙,501,20953000,2013
その他,5,議会,502,90299000,2013
その他,5,その他,503,1127952000,2013
安全,6,防災,601,24407000,2013
安全,6,消防・交通安全,602,221462000,2013
産業,7,水産業,701,97142000,2013
産業,7,商工業,702,40396000,2013
産業,7,観光業,704,22999000,2013
産業,7,農業,705,12030000,2013
産業,7,林業,706,25057000,2013
健康・福祉・環境,8,健康,801,1345023000,2013
健康・福祉・環境,8,福祉,802,2275904000,2013
健康・福祉・環境,8,環境,803,3153782000,2013